Sent [SYN] packet - Time: 0.1429ms
Received [SYN-ACK] packet - Time: 0.0044ms
Sent [ACK] packet - Time: 0.0245ms
Received [Data] packet - Filename: , SeqNum: 64, AckNum: 64, Length: 14, cwndSize: 14, Checksum: 4294919553, Time: 0.0009ms
Received [Data] packet - Filename: , SeqNum: 65, AckNum: 65, Length: 14, cwndSize: 14, Checksum: 4294919553, Time: 0.3769ms
Received [Data] packet - Filename: , SeqNum: 66, AckNum: 66, Length: 14, cwndSize: 14, Checksum: 4294919553, Time: 0.0049ms
Received [Data] packet - Filename: , SeqNum: 67, AckNum: 67, Length: 14, cwndSize: 14, Checksum: 4294919553, Time: 0.0013ms
Received [Data] packet - Filename: , SeqNum: 68, AckNum: 68, Length: 14, cwndSize: 14, Checksum: 4294919553, Time: 0.0012ms
Received [Data] packet - Filename: , SeqNum: 69, AckNum: 69, Length: 14, cwndSize: 14, Checksum: 4294919553, Time: 0.0017ms
Received [Data] packet - Filename: , SeqNum: 70, AckNum: 70, Length: 14, cwndSize: 14, Checksum: 4294919553, Time: 0.0024ms
Received [Data] packet - Filename: , SeqNum: 71, AckNum: 71, Length: 14, cwndSize: 14, Checksum: 4294919553, Time: 0.0012ms
Received [Data] packet - Filename: , SeqNum: 72, AckNum: 72, Length: 14, cwndSize: 14, Checksum: 4294919553, Time: 0.0011ms
Received [Data] packet - Filename: , SeqNum: 73, AckNum: 73, Length: 14, cwndSize: 14, Checksum: 4294919553, Time: 0.0014ms
Received [Data] packet - Filename: , SeqNum: 74, AckNum: 74, Length: 14, cwndSize: 14, Checksum: 4294919553, Time: 0.0831ms
Sent [Data] packet - Filename: 1.jpg, SeqNum: 75, AckNum: 74, Length: 1024, cwndSize: 14, Checksum: 4294947341, Time: 0.0329ms
Sent [Data] packet - Filename: 1.jpg, SeqNum: 76, AckNum: 75, Length: 1024, cwndSize: 14, Checksum: 4294906417, Time: 0.0079ms
Received [Data] packet - Filename: , SeqNum: 75, AckNum: 75, Length: 14, cwndSize: 1, Checksum: 4294919553, Time: 0.0022ms
Received [Data] packet - Filename: , SeqNum: 76, AckNum: 76, Length: 14, cwndSize: 2, Checksum: 4294919553, Time: 0.001ms
Sent [Data] packet - Filename: 1.jpg, SeqNum: 77, AckNum: 76, Length: 1024, cwndSize: 3, Checksum: 4294957896, Time: 0.0104ms
Sent [Data] packet - Filename: 1.jpg, SeqNum: 78, AckNum: 77, Length: 1024, cwndSize: 3, Checksum: 4294952176, Time: 0.0071ms
Sent [Data] packet - Filename: 1.jpg, SeqNum: 79, AckNum: 78, Length: 1024, cwndSize: 3, Checksum: 4294966233, Time: 0.0086ms
Received [Data] packet - Filename: , SeqNum: 77, AckNum: 77, Length: 14, cwndSize: 3, Checksum: 4294919553, Time: 0.0016ms
Received [Data] packet - Filename: , SeqNum: 77, AckNum: 77, Length: 14, cwndSize: 4, Checksum: 4294919553, Time: 0.0014ms
Received [Data] packet - Filename: , SeqNum: 77, AckNum: 77, Length: 14, cwndSize: 4, Checksum: 4294919553, Time: 0.0011ms
Received [Data] packet - Filename: , SeqNum: 78, AckNum: 78, Length: 14, cwndSize: 4, Checksum: 4294919553, Time: 0.0182ms
Received [Data] packet - Filename: , SeqNum: 79, AckNum: 79, Length: 14, cwndSize: 5, Checksum: 4294919553, Time: 0.0157ms
Sent [Data] packet - Filename: 1.jpg, SeqNum: 80, AckNum: 79, Length: 1024, cwndSize: 6, Checksum: 4294920472, Time: 0.0364ms
Sent [Data] packet - Filename: 1.jpg, SeqNum: 81, AckNum: 80, Length: 1024, cwndSize: 6, Checksum: 4294909966, Time: 0.0082ms
Sent [Data] packet - Filename: 1.jpg, SeqNum: 82, AckNum: 81, Length: 1024, cwndSize: 6, Checksum: 4294935747, Time: 0.0083ms
Sent [Data] packet - Filename: 1.jpg, SeqNum: 83, AckNum: 82, Length: 1024, cwndSize: 6, Checksum: 4294924010, Time: 0.0081ms
Sent [Data] packet - Filename: 1.jpg, SeqNum: 84, AckNum: 83, Length: 1024, cwndSize: 6, Checksum: 4294915281, Time: 0.0097ms
Sent [Data] packet - Filename: 1.jpg, SeqNum: 85, AckNum: 84, Length: 1024, cwndSize: 6, Checksum: 4294944200, Time: 0.0072ms
Received [Data] packet - Filename: , SeqNum: 80, AckNum: 80, Length: 14, cwndSize: 6, Checksum: 4294919553, Time: 0.0025ms
Received [Data] packet - Filename: , SeqNum: 81, AckNum: 81, Length: 14, cwndSize: 7, Checksum: 4294919553, Time: 0.0013ms
Received [Data] packet - Filename: , SeqNum: 82, AckNum: 82, Length: 14, cwndSize: 7, Checksum: 4294919553, Time: 0.0012ms
Received [Data] packet - Filename: , SeqNum: 83, AckNum: 83, Length: 14, cwndSize: 7, Checksum: 4294919553, Time: 0.0015ms
Received [Data] packet - Filename: , SeqNum: 84, AckNum: 84, Length: 14, cwndSize: 7, Checksum: 4294919553, Time: 0.0291ms
